Variable,GCM,Scenario,YearRange,Station,Raw_Pbias,BiasCorrected_Pbias,Raw_RMSE,BiasCorrected_RMSE,Raw_R2,BiasCorrected_R2,Raw_KGE,BiasCorrected_KGE,Raw_NSE,BiasCorrected_NSE,Raw_NRMSE,BiasCorrected_NRMSE
pr,CanESM5,ssp126,2015-2100,BNW,-71.6,-67.6,12.2219200261341,12.3497906605275,0.000497174325866222,0.00127349435119551,-0.430353794038849,-0.391895727610452,-0.330153015235756,-0.358131806038212,0.136311035066517,0.137737175844031
pr,CanESM5,ssp126,2015-2100,EST,11.1,-15.7,8.47601367151252,8.1013740621347,2.34606258794638e-06,0.000143112845271109,-0.0951328680253012,-0.131017736691872,-0.328851253548566,-0.213976958109622,0.0853456075831456,0.0815733336904635
pr,CanESM5,ssp245,2015-2100,OXV,-85.3,-64.1,11.0999356083051,10.9796310312217,6.18024689720302e-05,0.000767117275053418,-0.534694833561223,-0.284820477430514,-0.427819129181132,-0.397036552275226,0.163672411576648,0.161898478740477
pr,CanESM5,ssp245,2015-2100,I75,-86.6,-67.7,11.9368666266286,11.632879289671,4.85912760799659e-05,1.5386282373606e-05,-0.527009202705461,-0.343855934882543,-0.555591713297176,-0.47737035884531,0.191818522041276,0.186933621881264
pr,CanESM5,ssp245,2015-2100,CAV,-67.1,-73.1,11.3373218151047,11.140527723511,2.90527770641069e-06,0.000109072522655787,-0.339300814541558,-0.41270669658087,-0.390066181525371,-0.342227264021798,0.142150080434133,0.139682628560999
pr,CanESM5,ssp245,2015-2100,OTM,-43.4,25.8,7.46797174986624,8.39253015189613,6.78681802506927e-05,0.00271268221916203,-0.264944862321874,-0.0179514403790408,-0.162646390999863,-0.468345090394482,0.0663689922847642,0.0745856823723017
pr,CanESM5,ssp245,2015-2100,IKV,-84.5,-71.7,11.1417957146757,11.0057927595282,0.000374484778567982,0.00337808933724933,-0.513371050758076,-0.330681306164898,-0.407995571435592,-0.373831808754658,0.144770090624928,0.143002946382996
pr,CanESM5,ssp245,2015-2100,OOA,-82,-53.4,8.7210234281458,8.70711244971319,0.000782044508427599,0.00015040621459687,-0.457967863605731,-0.243629362763695,-0.438599172383556,-0.434013389232616,0.180709146874136,0.180420896181376
pr,CanESM5,ssp245,2015-2100,PEA,-85.3,-76.7,15.9897835054841,16.1912756592117,0.000510123025100394,0.00027994202289329,-0.584948364125324,-0.463783810618396,-0.185888924362112,-0.215964733389559,0.0699465595165533,0.0708279775118622
pr,CanESM5,ssp245,2015-2100,MWM,-55.9,-76.7,10.481562731368,10.3335506072398,0.00206867311800486,0.000702414729645187,-0.336043891350777,-0.422512127331787,-0.264404892065707,-0.228947224585793,0.119265881518457,0.117581705512264
pr,CanESM5,ssp245,2015-2100,OTG,10.3,8.6,8.15515195501089,8.49747341834206,3.98621543011004e-05,4.87854069095674e-06,-0.0907911987893693,-0.0481097030030948,-0.358576616802305,-0.475025911404578,0.0724760665026474,0.0755183290231427
pr,CanESM5,ssp245,2015-2100,DSM,-49,1.2,8.05029925593672,8.6556541308055,0.000490554118210504,2.49730193273626e-05,-0.321178544210058,-0.0962438916275126,-0.14339293342212,-0.321816724790897,0.0882843776011309,0.0949230597987136
pr,CanESM5,ssp245,2015-2100,SLB,-64.3,-73,9.98113547923178,9.75846109664137,5.99755835829897e-05,0.00327781615917617,-0.319810136594749,-0.381135886150374,-0.333904264200845,-0.275050629505235,0.107365598287851,0.104970322884572
pr,CanESM5,ssp245,2015-2100,CNC,-85.7,-63.3,12.222729805925,11.9861405428799,0.000367621391654389,0.00105889075974732,-0.524588809846698,-0.299811934613808,-0.37703876078773,-0.324245401412769,0.122445250605327,0.120075139176533
pr,CanESM5,ssp245,2015-2100,PRO,-82.2,-74.6,12.0495332837489,11.8453089521743,0.00380668996354094,2.88525210253761e-06,-0.550257922593061,-0.437607866270487,-0.371773495277899,-0.325667902846032,0.0988314737840299,0.097156405447624
pr,CanESM5,ssp245,2015-2100,CIN,-80.8,-70.2,11.9451393243489,11.6853731939651,0.000134984150076351,2.08783507418815e-07,-0.49765793308115,-0.415970227137907,-0.366481228413507,-0.307694824146702,0.134751024573572,0.131820648353734
pr,CanESM5,ssp245,2015-2100,EBS,-70.5,-61.6,9.83719913316101,10.3481044698059,1.56346507971105e-05,0.000491915488173214,-0.373205024623534,-0.273790527579332,-0.360160789953009,-0.505112402263024,0.132634008375054,0.139522495817683
